ID | Name             | Type                     | Reading    | Units | Event
63 | Fan 3            | Fan                      | N/A        | N/A   | 'transition to Running'
64 | Fan 3 DutyCycle  | Fan                      | 19.60      | %     | 'OK'
65 | Fan 3 Presence   | Fan                      | N/A        | N/A   | 'Device Inserted/Device Present'
66 | Fan 4            | Fan                      | N/A        | N/A   | 'transition to Running'
67 | Fan 4 DutyCycle  | Fan                      | 18.82      | %     | 'OK'
68 | Fan 4 Presence   | Fan                      | N/A        | N/A   | 'Device Inserted/Device Present'
69 | Fan 5            | Fan                      | N/A        | N/A   | 'transition to Running'
70 | Fan 5 DutyCycle  | Fan                      | 19.60      | %     | 'OK'
71 | Fan 5 Presence   | Fan                      | N/A        | N/A   | 'Device Inserted/Device Present'
72 | Fan 6            | Fan                      | N/A        | N/A   | 'transition to Running'
73 | Fan 6 DutyCycle  | Fan                      | 19.60      | %     | 'OK'
74 | Fan 6 Presence   | Fan                      | N/A        | N/A   | 'Device Inserted/Device Present'
75 | Fan 7            | Fan                      | N/A        | N/A   | 'transition to Running'
76 | Fan 7 DutyCycle  | Fan                      | 19.60      | %     | 'OK'
77 | Fan 7 Presence   | Fan                      | N/A        | N/A   | 'Device Inserted/Device Present'
78 | Power Supply 1   | Power Supply             | N/A        | N/A   | 'Presence detected'
79 | PS 1 Output      | Power Supply             | 115.00     | W     | 'OK'
80 | PS 1 Presence    | Power Supply             | N/A        | N/A   | 'Device Inserted/Device Present'
81 | Power Supply 2   | Power Supply             | N/A        | N/A   | 'Presence detected'
82 | PS 2 Output      | Power Supply             | 100.00     | W     | 'OK'
83 | PS 2 Presence    | Power Supply             | N/A        | N/A   | 'Device Inserted/Device Present'
84 | Power Meter      | Current                  | N/A        | N/A   | 'Device Enabled'
85 | PwrMeter Output  | Other Units Based Sensor | 185.00     | W     | 'OK'
86 | Power Supplies   | Power Supply             | N/A        | N/A   | 'Fully Redundant'
88 | Fans             | Fan                      | N/A        | N/A   | 'Fully Redundant'
90 | Megacell Status  | Battery                  | N/A        | N/A   | N/A
91 | Memory Status    | Memory                   | N/A        | N/A   | 'Presence detected'
92 | C32 P1I Bay 1    | Drive Slot               | N/A        | N/A   | 'Drive Presence'
93 | C32 P1I Bay 2    | Drive Slot               | N/A        | N/A   | 'Drive Presence'
94 | C32 P1I Bay 3    | Drive Slot               | N/A        | N/A   | 'Drive Presence'
95 | C32 P1I Bay 4    | Drive Slot               | N/A        | N/A   | 'Drive Presence'
